Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
resnet50_simsiam-100e-pre_8xb512-linear-coslr-90e_in1k,configs/simsiam/benchmarks/resnet50_8xb512-linear-coslr-90e_in1k.py,4109464576,25557032,68.3,,90.0,4096.0,
shufflenet-v1-1x_16xb64_in1k,configs/shufflenet_v1/shufflenet-v1-1x_16xb64_in1k.py,146000000,1870000,68.13,87.81,,,
mobilenet-v3-small_3rdparty_in1k,configs/mobilenet_v3/mobilenet-v3-small_8xb128_in1k.py,60000000,2540000,67.66,87.41,,,
resnet50_mocov2-pre_8xb32-linear-steplr-100e_in1k,configs/mocov2/benchmarks/resnet50_8xb32-linear-steplr-100e_in1k.py,4109464576,25557032,67.5,,100.0,256.0,
vit-base-p16_mae-1600e-pre_8xb2048-linear-coslr-90e_in1k,configs/mae/benchmarks/vit-base-p16_8xb2048-linear-coslr-90e_in1k.py,17581972992,86567656,67.1,,90.0,16384.0,
resnet50_simclr-200e-pre_8xb512-linear-coslr-90e_in1k,configs/simclr/benchmarks/resnet50_8xb512-linear-coslr-90e_in1k.py,4109464576,25557032,66.9,,90.0,4096.0,
mobilenet-v3-small_8xb128_in1k,configs/mobilenet_v3/mobilenet-v3-small_8xb128_in1k.py,60000000,2540000,66.68,86.74,,,
mobilenet-v3-small-075_3rdparty_in1k,configs/mobilenet_v3/mobilenet-v3-small-075_8xb128_in1k.py,44791000,2040000,65.23,85.44,,,
vit-base-p16_mae-800e-pre_8xb2048-linear-coslr-90e_in1k,configs/mae/benchmarks/vit-base-p16_8xb2048-linear-coslr-90e_in1k.py,17581972992,86567656,65.1,,90.0,16384.0,
resnet50_densecl-pre_8xb32-linear-steplr-100e_in1k,configs/densecl/benchmarks/resnet50_8xb32-linear-steplr-100e_in1k.py,4109464576,25557032,63.5,,100.0,256.0,
vit-base-p16_mae-400e-pre_8xb2048-linear-coslr-90e_in1k,configs/mae/benchmarks/vit-base-p16_8xb2048-linear-coslr-90e_in1k.py,17581972992,86567656,62.5,,90.0,16384.0,
vit-base-p16_mae-300e-pre_8xb2048-linear-coslr-90e_in1k,configs/mae/benchmarks/vit-base-p16_8xb2048-linear-coslr-90e_in1k.py,17581972992,86567656,60.8,,90.0,16384.0,
mobilenet-v3-small-050_3rdparty_in1k,configs/mobilenet_v3/mobilenet-v3-small-050_8xb128_in1k.py,24895000,1590000,57.91,80.19,,,
hivit-small-p16_16xb64_in1k,configs/hivit/hivit-small-p16_16xb64_in1k.py,9072000000,37526000,,,,,
hivit-base-p16_16xb64_in1k,configs/hivit/hivit-base-p16_16xb64_in1k.py,18474000000,79051000,,,,,
